Group	Measurement	Parameter	Unit	Value
Y_HT_200mN	4	Welast	pJ	28490.637
Y_HT_200mN	4	Wplast	pJ	86912.508
Y_HT_200mN	4	Wtotal	pJ	115403.148
Y_HT_200mN	4	nit	%	24.688
Y_HT_200mN	4	X	µm	12601.433
Y_HT_200mN	4	Y	µm	37300.934
Y_HT_200mN	4	G (Creep)	GPa	14.662
Y_HT_200mN	4	E (Creep)	GPa	38.122
Y_HT_200mN	4	K (Creep)	GPa	31.768
Y_HT_200mN	4	F/S²(O&P)	nm²/mN	350.066
Y_HT_100mN	1	HIT (O&P)	GPa	3.829
Y_HT_100mN	1	HVIT (O&P)	Vickers	390.365
Y_HT_100mN	1	EIT (O&P)	GPa	105.008
Y_HT_100mN	1	E* (O&P)	GPa	115.394
Y_HT_100mN	1	Er (O&P)	GPa	104.843
Y_HT_100mN	1	hm (O&P)	nm	554.155
Y_HT_100mN	1	Fm (O&P)	mN	99.997
Y_HT_100mN	1	S (O&P)	mN/nm	0.605
Y_HT_100mN	1	Poisson's ratio		0.300
Y_HT_100mN	1	hc (O&P)	nm	424.609
Y_HT_100mN	1	hr (O&P)	nm	388.742
Y_HT_100mN	1	hp (O&P)	nm	347.912
Y_HT_100mN	1	Epsilon (O&P)		0.783
Y_HT_100mN	1	Ap (O&P)	nm²	26112564.000
Y_HT_100mN	1	m (O&P)		1.247
Y_HT_100mN	1	CIT	%	9.307
Y_HT_100mN	1	RIT	%	-0.406
Y_HT_100mN	1	Welast	pJ	9318.371
Y_HT_100mN	1	Wplast	pJ	20470.584
Y_HT_100mN	1	Wtotal	pJ	29788.955
Y_HT_100mN	1	nit	%	31.281
Y_HT_100mN	1	X	µm	11453.232
Y_HT_100mN	1	Y	µm	36347.699
Y_HT_100mN	1	G (Creep)	GPa	3.037
Y_HT_100mN	1	E (Creep)	GPa	7.896
Y_HT_100mN	1	K (Creep)	GPa	6.580
Y_HT_100mN	1	F/S²(O&P)	nm²/mN	273.624
Y_HT_100mN	2	HIT (O&P)	GPa	3.709
Y_HT_100mN	2	HVIT (O&P)	Vickers	378.133
Y_HT_100mN	2	EIT (O&P)	GPa	103.387
Y_HT_100mN	2	E* (O&P)	GPa	113.612
Y_HT_100mN	2	Er (O&P)	GPa	103.370
Y_HT_100mN	2	hm (O&P)	nm	568.967
Y_HT_100mN	2	Fm (O&P)	mN	99.986
Y_HT_100mN	2	S (O&P)	mN/nm	0.606
Y_HT_100mN	2	Poisson's ratio		0.300
Y_HT_100mN	2	hc (O&P)	nm	438.606
Y_HT_100mN	2	hr (O&P)	nm	403.856
Y_HT_100mN	2	hp (O&P)	nm	368.109
Y_HT_100mN	2	Epsilon (O&P)		0.790
Y_HT_100mN	2	Ap (O&P)	nm²	26954062.000
Y_HT_100mN	2	m (O&P)		1.217
Y_HT_100mN	2	CIT	%	10.877
Y_HT_100mN	2	RIT	%	-0.363
Y_HT_100mN	2	Welast	pJ	9248.757
Y_HT_100mN	2	Wplast	pJ	21060.484
Y_HT_100mN	2	Wtotal	pJ	30309.242
Y_HT_100mN	2	nit	%	30.515
Y_HT_100mN	2	X	µm	11653.232
Y_HT_100mN	2	Y	µm	36347.699
Y_HT_100mN	2	G (Creep)	GPa	18.601
Y_HT_100mN	2	E (Creep)	GPa	48.363
Y_HT_100mN	2	K (Creep)	GPa	40.302
Y_HT_100mN	2	F/S²(O&P)	nm²/mN	272.656
Y_HT_100mN	3	HIT (O&P)	GPa	3.762
Y_HT_100mN	3	HVIT (O&P)	Vickers	383.519
Y_HT_100mN	3	EIT (O&P)	GPa	102.081
Y_HT_100mN	3	E* (O&P)	GPa	112.177
Y_HT_100mN	3	Er (O&P)	GPa	102.180
Y_HT_100mN	3	hm (O&P)	nm	565.250
Y_HT_100mN	3	Fm (O&P)	mN	100.017
Y_HT_100mN	3	S (O&P)	mN/nm	0.594
Y_HT_100mN	3	Poisson's ratio		0.300
Y_HT_100mN	3	hc (O&P)	nm	432.445
Y_HT_100mN	3	hr (O&P)	nm	397.005
Y_HT_100mN	3	hp (O&P)	nm	360.435
Y_HT_100mN	3	Epsilon (O&P)		0.789
Y_HT_100mN	3	Ap (O&P)	nm²	26583812.000
Y_HT_100mN	3	m (O&P)		1.217
Y_HT_100mN	3	CIT	%	9.696
Y_HT_100mN	3	RIT	%	-0.389
Y_HT_100mN	3	Welast	pJ	9231.227
Y_HT_100mN	3	Wplast	pJ	19589.336
Y_HT_100mN	3	Wtotal	pJ	28820.563
Y_HT_100mN	3	nit	%	32.030
Y_HT_100mN	3	X	µm	11453.232
Y_HT_100mN	3	Y	µm	36547.699
Y_HT_100mN	3	G (Creep)	GPa	19.113
Y_HT_100mN	3	E (Creep)	GPa	49.694
Y_HT_100mN	3	K (Creep)	GPa	41.411
Y_HT_100mN	3	F/S²(O&P)	nm²/mN	283.016
Y_HT_100mN	4	HIT (O&P)	GPa	3.782
Y_HT_100mN	4	HVIT (O&P)	Vickers	385.525
Y_HT_100mN	4	EIT (O&P)	GPa	102.478
Y_HT_100mN	4	E* (O&P)	GPa	112.614
Y_HT_100mN	4	Er (O&P)	GPa	102.543
Y_HT_100mN	4	hm (O&P)	nm	561.628
Y_HT_100mN	4	Fm (O&P)	mN	99.998
Y_HT_100mN	4	S (O&P)	mN/nm	0.595
Y_HT_100mN	4	Poisson's ratio		0.300
Y_HT_100mN	4	hc (O&P)	nm	430.062
Y_HT_100mN	4	hr (O&P)	nm	393.556
Y_HT_100mN	4	hp (O&P)	nm	351.772
Y_HT_100mN	4	Epsilon (O&P)		0.783
Y_HT_100mN	4	Ap (O&P)	nm²	26440562.000
Y_HT_100mN	4	m (O&P)		1.249
Y_HT_100mN	4	CIT	%	10.323
Y_HT_100mN	4	RIT	%	-0.404
Y_HT_100mN	4	Welast	pJ	9504.108
Y_HT_100mN	4	Wplast	pJ	21574.064
Y_HT_100mN	4	Wtotal	pJ	31078.172
Y_HT_100mN	4	nit	%	30.581
Y_HT_100mN	4	X	µm	11653.232
Y_HT_100mN	4	Y	µm	36547.699
Y_HT_100mN	4	G (Creep)	GPa	18.752
Y_HT_100mN	4	E (Creep)	GPa	48.756
Y_HT_100mN	4	K (Creep)	GPa	40.630
Y_HT_100mN	4	F/S²(O&P)	nm²/mN	282.490
HT_V_300mN	1	HIT (O&P)	GPa	3.499
HT_V_300mN	1	HVIT (O&P)	Vickers	356.716
HT_V_300mN	1	EIT (O&P)	GPa	87.211
HT_V_300mN	1	E* (O&P)	GPa	95.836
HT_V_300mN	1	Er (O&P)	GPa	88.444
HT_V_300mN	1	hm (O&P)	nm	1728.638
HT_V_300mN	1	Fm (O&P)	mN	300.012
HT_V_300mN	1	S (O&P)	mN/nm	0.924
HT_V_300mN	1	Poisson's ratio		0.300
HT_V_300mN	1	hc (O&P)	nm	1472.962
HT_V_300mN	1	hr (O&P)	nm	1403.969
HT_V_300mN	1	hp (O&P)	nm	1330.530
HT_V_300mN	1	Epsilon (O&P)		0.787
HT_V_300mN	1	Ap (O&P)	nm²	85732856.000
HT_V_300mN	1	m (O&P)		1.226
HT_V_300mN	1	CIT	%	16.637
HT_V_300mN	1	RIT	%	-0.109
HT_V_300mN	1	Welast	pJ	60399.352
HT_V_300mN	1	Wplast	pJ	241509.703
HT_V_300mN	1	Wtotal	pJ	301909.063
HT_V_300mN	1	nit	%	20.006
HT_V_300mN	1	X	µm	12955.433
HT_V_300mN	1	Y	µm	36869.965
HT_V_300mN	1	G (Creep)	GPa	9.144
HT_V_300mN	1	E (Creep)	GPa	23.773
HT_V_300mN	1	K (Creep)	GPa	19.811
HT_V_300mN	1	F/S²(O&P)	nm²/mN	351.353
HT_V_300mN	2	HIT (O&P)	GPa	3.377
HT_V_300mN	2	HVIT (O&P)	Vickers	344.283
HT_V_300mN	2	EIT (O&P)	GPa	86.487
HT_V_300mN	2	E* (O&P)	GPa	95.041
HT_V_300mN	2	Er (O&P)	GPa	87.766
HT_V_300mN	2	hm (O&P)	nm	1771.097
HT_V_300mN	2	Fm (O&P)	mN	299.917
HT_V_300mN	2	S (O&P)	mN/nm	0.933
HT_V_300mN	2	Poisson's ratio		0.300
HT_V_300mN	2	hc (O&P)	nm	1530.415
HT_V_300mN	2	hr (O&P)	nm	1449.722
HT_V_300mN	2	hp (O&P)	nm	1284.040
HT_V_300mN	2	Epsilon (O&P)		0.749
HT_V_300mN	2	Ap (O&P)	nm²	88800688.000
HT_V_300mN	2	m (O&P)		1.516
HT_V_300mN	2	CIT	%	17.075
HT_V_300mN	2	RIT	%	-0.121
HT_V_300mN	2	Welast	pJ	65501.902
HT_V_300mN	2	Wplast	pJ	245117.578
HT_V_300mN	2	Wtotal	pJ	310619.469
HT_V_300mN	2	nit	%	21.088
HT_V_300mN	2	X	µm	13155.433
HT_V_300mN	2	Y	µm	36869.965
HT_V_300mN	2	G (Creep)	GPa	8.398
HT_V_300mN	2	E (Creep)	GPa	21.835
HT_V_300mN	2	K (Creep)	GPa	18.196
HT_V_300mN	2	F/S²(O&P)	nm²/mN	344.369
HT_V_300mN	3	HIT (O&P)	GPa	3.357
HT_V_300mN	3	HVIT (O&P)	Vickers	342.248
HT_V_300mN	3	EIT (O&P)	GPa	88.776
HT_V_300mN	3	E* (O&P)	GPa	97.556
HT_V_300mN	3	Er (O&P)	GPa	89.907
